CONTRACT #;*FUNCTION;*ACTIVITY*;SUN;MON;TUE ;WED;THR;FRI;TOTAL HOUR;NAME;WEEK;Year
6013;400;5000;;2;1;2;2;2;9;KP;10;2026
6013;400;8000;;3;2;2;1;2;10;KP;10;2026
6013;400;2000;;2;2;1;2;2;9;KP;10;2026
6013;400;7000;;1;2;3;3;2;11;KP;10;2026
6006;400;8000;;;1;;;;1;KP;10;2026
6011;400;7000;;3;4;3;;;10;VYÇ;10;2026
6008;400;7000;;;1;;;;1;VYÇ;10;2026
4425;400;7000;;;;;4;1;5;VYÇ;10;2026
6013;800;7000;;;;2;;;2;VYÇ;10;2026
6004;400;7000;;;;1;1;;2;VYÇ;10;2026
6008;400;7000;;3;;;;;3;VYÇ;10;2026
6003;400;8000;;;;;;1;1;VYÇ;10;2026
6004;800;8000;;;;;;1;1;VYÇ;10;2026
4384;400;8000;;;;;;0,5;0,5;CÇ;10;2026
4425;400;7000;;3;;4,5;;;7,5;CÇ;10;2026
4425;400;8000;;;;1;;;1;CÇ;10;2026
6007;400;8000;;;;;;2;2;CÇ;10;2026
6008;400;400;;;;;1;;1;CÇ;10;2026
6008;400;2000;;0,5;;;;;0,5;CÇ;10;2026
6008;400;5000;;;1;;;;1;CÇ;10;2026
6008;400;8000;;;2;;;;2;CÇ;10;2026
6010;400;400;;;;;1;;1;CÇ;10;2026
6010;400;5000;;;0,5;;;;0,5;CÇ;10;2026
6010;400;8000;;;;2;;;2;CÇ;10;2026
6011;400;2000;;0,5;;;;;0,5;CÇ;10;2026
6012;400;400;;;;;1;;1;CÇ;10;2026
6012;400;5000;;;;;;3,5;3,5;CÇ;10;2026
6012;400;6000;;0,5;;;;;0,5;CÇ;10;2026
6012;400;8000;;;2,5;;;;2,5;CÇ;10;2026
6013;400;400;;;;;1;;1;CÇ;10;2026
6013;400;7000;;0,5;;;;;0,5;CÇ;10;2026
6013;400;8000;;;;;2;1;3;CÇ;10;2026
6012;400;7000;;1;;3;2;1;7;UK;10;2026
6012;400;5000;;;;;;;0;UK;10;2026
6012;400;8000;;;;5;;;5;UK;10;2026
6012;400;600;;4;2;;;;6;UK;10;2026
6007;400;7000;;;;;;;0;UK;10;2026
6007;400;8000;;1;;;;1;2;UK;10;2026
6012;400;700;;;;;2;2;4;UK;10;2026
6007;400;700;;2;2;;;;4;UK;10;2026
6010;400;5000;;5;5;5;5;5;25;OÞ;10;2026
4425;400;5000;;;;7;7;7;21;MA;10;2026
6011;400;5000;;7;3;;;;10;MA;10;2026
6001;400;5000;;;4;;;;4;MA;10;2026
6006;400;7000;;1;;;;3;4;AEA;10;2026
6006;400;8000;;1;;;1;3;5;AEA;10;2026
6003;400;7000;;;;;;;0;AEA;10;2026
6003;400;8000;;2;;;;;2;AEA;10;2026
6013;400;5000;;;;;;;0;AEA;10;2026
6013;400;8000;;2;;5;3;1;11;AEA;10;2026
6013;400;7000;;2;;3;4;1;10;AEA;10;2026
6008;400;5000;;2;;1;2;;5;BÞ;10;2026
6008;400;7000;;;1;1;;2;4;BÞ;10;2026
6008;400;4000;;;2;2;3;1;8;BÞ;10;2026
6013;400;5000;;3;3;3;2;2;13;BÞ;10;2026
6011;400;7000;;1;1;2;2;1;7;SA;10;2026
6011;400;5000;;3;3;2;2;2;12;SA;10;2026
6004;400;7000;;3;2;2;1;2;10;SA;10;2026
6004;400;8000;;;1;1;;;2;SA;10;2026
6011;400;8000;;;;;2;1;3;SA;10;2026
6011;400;2000;;;;;;1;1;SA;10;2026
6012;400;5000;;3;6;6;6;6;27;EA;10;2026
6008;400;7000;;3;;;;;3;EA;10;2026
6010;400;8000;;1;;;;;1;YK;10;2026
6001;400;7000;;;;;;;0;YK;10;2026
6010;400;5000;;4;;3;5;;12;YK;10;2026
6010;400;7000;;3;8;3;;4;18;YK;10;2026
6002-11;400;5000;;8;8;8;8;8;40;SH;10;2026
6008;400;600;;2;;2;;1;5;HEÖ;11;2026
6008;400;700;;1;;;3;;4;HEÖ;11;2026
6008;400;2000;;;;;;;0;HEÖ;11;2026
6008;400;5000;;1;;2;;1;4;HEÖ;11;2026
6008;400;6000;;;;;;;0;HEÖ;11;2026
6008;400;7000;;3;2;2;;4;11;HEÖ;11;2026
6008;400;8000;;1;;2;;1;4;HEÖ;11;2026
6010;400;5000;;7;6;5;6;7;31;BS;11;2026
6012;400;7000;;2;2;2;;3;9;UK;11;2026
6012;400;5000;;;;;;;0;UK;11;2026
6012;400;8000;;1;2;;;2;5;UK;11;2026
6012;400;600;;;;;1;1;2;UK;11;2026
6007;400;7000;;;;;;;0;UK;11;2026
6007;400;8000;;;;;;;0;UK;11;2026
6012;400;700;;;;2;3;2;7;UK;11;2026
4425;400;400;;1;;;;;1;CÇ;11;2026
4425;400;7000;;2;;;;;2;CÇ;11;2026
6003;400;400;;1;;;;;1;CÇ;11;2026
6007;300;400;;1;;;;;1;CÇ;11;2026
6007;300;600;;;;1;;;1;CÇ;11;2026
6007;300;700;;;2;;;;2;CÇ;11;2026
6008;400;8000;;;0,5;;;;0,5;CÇ;11;2026
6010;400;400;;;1;;;;1;CÇ;11;2026
6012;400;400;;0,5;;;;;0,5;CÇ;11;2026
6012;400;700;;;1;;;;1;CÇ;11;2026
6012;400;6000;;;;2,5;3;;5,5;CÇ;11;2026
6012;400;8000;;;;;2;;2;CÇ;11;2026
6013;400;700;;;1,5;;;;1,5;CÇ;11;2026
6013;400;1000;;;;1;;;1;CÇ;11;2026
6013;400;5000;;;;1;;;1;CÇ;11;2026
4425;400;5000;;7;5;;;7;19;MA;11;2026
6011;400;5000;;;2;;;;2;MA;11;2026
4411;400;5000;;;;6;7;;13;MA;11;2026
6006;400;7000;;1;;;;;1;AEA;11;2026
6006;400;8000;;;1;1;;;2;AEA;11;2026
6003;400;7000;;1;;;;;1;AEA;11;2026
6013;400;5000;;;;;2;1;3;AEA;11;2026
6013;400;8000;;2;3;2;2;2;11;AEA;11;2026
6013;400;7000;;4;4;5;4;5;22;AEA;11;2026
6013;400;5000;;;1;2;2;2;7;KP;11;2026
6013;400;8000;;;2;2;1;2;7;KP;11;2026
6013;400;2000;;;2;1;2;2;7;KP;11;2026
6013;400;7000;;;2;3;3;2;10;KP;11;2026
6006;400;8000;;;1;;;;1;KP;11;2026
6012;400;7000;;;2;;1;;3;BP;11;2026
6012;400;5000;;2;;2;;3;7;BP;11;2026
6012;400;8000;;;;;;;0;BP;11;2026
4385;400;8000;;;;;1;;1;BP;11;2026
6007;400;7000;;6;;4;;1;11;BP;11;2026
6007;400;8000;;;1;2;2;3;8;BP;11;2026
6012;400;5000;;7;7;7;6;4;31;MY;11;2026
6006;400;5000;;;;;;1;1;MY;11;2026
6003;400;5000;;;;;;1;1;MY;11;2026
6013;400;5000;;6;8;5;7;5;31;BÞ;11;2026
4425;400;7000;;4;;2;;;6;VYÇ;11;2026
6012;400;7000;;2;4;4;;;10;VYÇ;11;2026
6011;400;8000;;3;2;1;0,5;4;10,5;RP;11;2026
6004;400;8000;;2;2;1;0,5;2;7,5;RP;11;2026
6011;400;5000;;3;2;;;;5;RP;11;2026
6011;400;7000;;;2;;;2;4;RP;11;2026
6011;400;5000;;3;4;2;3;2;14;SA;11;2026
6011;400;1000;;;;;;;0;SA;11;2026
6011;400;2000;;;;;;2;2;SA;11;2026
6011;400;8000;;;;2;1;1;4;SA;11;2026
6011;400;7000;;4;2;2;3;2;13;SA;11;2026
6011;400;6000;;;;1;;;1;SA;11;2026
6011;400;1000;;2;;;;;2;UU;11;2026
6011;400;5000;;1;;;;;1;UU;11;2026
6013;400;1000;;2;;;;;2;UU;11;2026
6013;400;7000;;0,5;;;;;0,5;UU;11;2026
6010;400;5000;;;2;;;;2;UU;11;2026
6013;400;1000;;;2;;;;2;UU;11;2026
6009;400;8000;;;;0,5;;;0,5;UU;11;2026
6008;400;5000;;;;1;;;1;UU;11;2026
6008;400;100;;;;2;;;2;UU;11;2026
6011;400;100;;;;;1;;1;UU;11;2026
6012;400;100;;;;;1;;1;UU;11;2026
6008;400;5000;;;;;1,5;;1,5;UU;11;2026
6011;400;7000;;;;;;1,5;1,5;UU;11;2026
4368;400;7000;;;;;;2;2;UU;11;2026
6003;400;700;;;;;;1;1;UU;11;2026
6006;400;700;;;;;;1;1;UU;11;2026
6010;400;5000;;1;1;1;1;1;5;OS;11;2026
6008;400;5000;;5;5;5;5;5;25;OS;11;2026
6012;400;5000;;6;4;5;6;6;27;EA;11;2026
6008;400;5000;;;2;;;;2;EA;11;2026
6010;400;8000;;;2;;;;2;YK;11;2026
6010;400;5000;;4;;;;;4;YK;11;2026
6010;400;7000;;2;5;;;;7;YK;11;2026
4411;400;7000;;;1;;;;1;YK;11;2026
6010;400;2000;;2;;;;;2;YK;11;2026
6002-11;400;5000;;6;8;8;7;8;37;SH;11;2026
6003;400;8000;;;;1;;;1;AEA;12;2026
6013;400;5000;;;1;1;;;2;AEA;12;2026
6013;400;8000;;3;1;;;;4;AEA;12;2026
6013;400;7000;;4;3;3;;;10;AEA;12;2026
6013;400;2000;;;3;3;;;6;AEA;12;2026
6008;400;600;;1;;3;;;4;HEÖ;12;2026
6008;400;2000;;;2;;;;2;HEÖ;12;2026
6008;400;7000;;4;5;5;;;14;HEÖ;12;2026
6008;400;8000;;2;1;;;;3;HEÖ;12;2026
6012;400;5000;;7;7;7;;;21;MY;12;2026
4425;400;5000;;7;7;7;;;21;MA;12;2026
6013;400;5000;;1;1;;;;2;KP;12;2026
6013;400;8000;;2;2;;;;4;KP;12;2026
6013;400;2000;;3;2;;;;5;KP;12;2026
6013;400;7000;;2;2;;;;4;KP;12;2026
6006;400;8000;;;1;;;;1;KP;12;2026
6010;400;5000;;7;6;7;;;20;BS;12;2026
6012;400;7000;;3;5;;;;8;BP;12;2026
4385;400;8000;;1;;;;;1;BP;12;2026
6012;400;2000;;;;;;;0;BP;12;2026
6007;400;7000;;2;3;;;;5;BP;12;2026
6007;400;8000;;2;;;;;2;BP;12;2026
6012;400;7000;;;2;;;;2;UK;12;2026
6012;400;8000;;;1;;;;1;UK;12;2026
6012;400;400;;2;;;;;2;UK;12;2026
4425;400;700;;6;5;;;;11;UK;12;2026
4411;200;700;;;;;;1;1;VYÇ;12;2026
4425;800;8000;;;;7;6;6;19;VYÇ;12;2026
6013;800;7000;;;2;;;;2;VYÇ;12;2026
6012;400;7000;;;2;;;;2;VYÇ;12;2026
6011;400;6000;;2;;;;;2;UU;12;2026
6011;400;5000;;2;;;;;2;UU;12;2026
6013;400;5000;;1,5;;;;;1,5;UU;12;2026
6013;400;7000;;;1;;;;1;UU;12;2026
6013;400;8000;;;1,5;;;;1,5;UU;12;2026
6013;400;100;;;0,5;;;;0,5;UU;12;2026
6011;400;100;;;0,5;;;;0,5;UU;12;2026
6010;400;100;;;0,5;;;;0,5;UU;12;2026
6012;400;100;;;0,5;;;;0,5;UU;12;2026
6008;400;100;;;1;;;;1;UU;12;2026
6010;400;5000;;3;3;3;3;3;15;OÞ;12;2026
6008;400;5000;;3;3;3;3;3;15;OÞ;12;2026
6008;400;5000;;6;6;6;;;18;EA;12;2026
4425;400;7000;;;1,5;;;;1,5;CÇ;12;2026
6006;400;2000;;1;;;;;1;CÇ;12;2026
6008;400;8000;;2;;;;;2;CÇ;12;2026
6010;400;700;;;;1;;;1;CÇ;12;2026
6012;400;700;;;2,5;1;;;3,5;CÇ;12;2026
6012;400;2000;;;;1;;;1;CÇ;12;2026
6012;400;6000;;0,5;;;;;0,5;CÇ;12;2026
6012;400;7000;;1;1,5;;;;2,5;CÇ;12;2026
6013;400;8000;;2,5;;;;;2,5;CÇ;12;2026
6001;400;7000;;2;;;;;2;YK;12;2026
6010;400;7000;;2;;;;;2;YK;12;2026
6010;400;1000;;;8;8;;;16;YK;12;2026
6002-11;400;5000;;8;8;5;8;8;37;SH;12;2026
6008;400;700;;3;1;2;3;2;11;HEÖ;13;2026
6008;400;6000;;1;;;;2;3;HEÖ;13;2026
6008;400;7000;;3;1;;1;;5;HEÖ;13;2026
6008;400;8000;;;6;6;4;4;20;HEÖ;13;2026
6004;400;7000;;2;;;;;2;UU;13;2026
6011;400;5000;;1;;;;;1;UU;13;2026
6008;400;5000;;1;;;;;1;UU;13;2026
6013;400;100;;;1,5;;;;1,5;UU;13;2026
6008;400;100;;;1,5;;;;1,5;UU;13;2026
6011;400;1000;;;2;;;;2;UU;13;2026
6013;400;5000;;;;1;;;1;UU;13;2026
6013;400;7000;;;;1;;;1;UU;13;2026
6008;400;100;;;;;1;;1;UU;13;2026
6008;400;2000;;;;;1;;1;UU;13;2026
6003;400;700;;;;;0,5;;0,5;UU;13;2026
6006;400;700;;;;;0,5;;0,5;UU;13;2026
6004;400;8000;;;;;;2;2;UU;13;2026
6011;400;7000;;;;;;1;1;UU;13;2026
4419;400;8000;;;;;;1;1;UU;13;2026
4411;400;8000;;;;;;1;1;UU;13;2026
6012;400;5000;;7;7;7;7;6,5;34,5;MY;13;2026
6011;400;5000;;;;;;0,5;0,5;MY;13;2026
4425;400;5000;;7;;1;7;7;22;MA;13;2026
6001;400;5000;;;2;;;;2;MA;13;2026
6011;400;5000;;;3;;;;3;MA;13;2026
6008;400;5000;;;2;5;;;7;MA;13;2026
6013;400;5000;;;;1;;;1;MA;13;2026
6008;400;5000;;4;6;5;5;6;26;EA;13;2026
6012;400;5000;;2;;1;1;;4;EA;13;2026
4425;400;5000;;;;;3;;3;CÇ;13;2026
6003;400;400;;;;;1;;1;CÇ;13;2026
6007;300;400;;;;;1,5;;1,5;CÇ;13;2026
6007;300;700;;;1;;;;1;CÇ;13;2026
6010;400;400;;;;;1;;1;CÇ;13;2026
6010;400;700;;1,5;;;;;1,5;CÇ;13;2026
6010;400;8000;;1;;;;;1;CÇ;13;2026
6012;400;700;;1;;;;;1;CÇ;13;2026
6012;400;8000;;;;;;3,5;3,5;CÇ;13;2026
6010;400;8000;;;;;1;;1;YK;13;2026
6010;400;5000;;;;;;2;2;YK;13;2026
6010;400;7000;;3;;;3;5;11;YK;13;2026
4411;400;7000;;;;;;1;1;YK;13;2026
6010;400;1000;;1,5;;;;;1,5;YK;13;2026
6012;400;7000;;2;2;;1;;5;UK;13;2026
6012;400;5000;;;1;;;;1;UK;13;2026
6012;400;8000;;2;;;;;2;UK;13;2026
6012;400;400;;1;2;;;;3;UK;13;2026
6007;400;700;;;;;1;;1;UK;13;2026
4425;400;700;;3;3;;6;;12;UK;13;2026
6013;400;5000;;2;1;2;2;2;9;KP;13;2026
6013;400;8000;;3;2;2;1;2;10;KP;13;2026
6013;400;2000;;2;2;1;2;2;9;KP;13;2026
6013;400;7000;;;2;3;3;2;10;KP;13;2026
6006;400;8000;;;1;;;;1;KP;13;2026
6003;400;8000;;1;;;;;1;KP;13;2026
6011;400;8000;;2;2;3;4;1;12;RP;13;2026
6004;400;8000;;3;2;2;2;1;10;RP;13;2026
6011;400;7000;;2;4;3;2;4;15;RP;13;2026
6011;400;2000;;;;;;2;2;RP;13;2026
6012;400;7000;;;3;2;;;5;BP;13;2026
6012;400;5000;;;;2;4;2;8;BP;13;2026
6012;400;8000;;;;;;;0;BP;13;2026
4385;400;8000;;;1;;1;;2;BP;13;2026
4425;400;8000;;;;;;;0;BP;13;2026
6012;400;2000;;;;;;;0;BP;13;2026
6007;400;7000;;;1;;1;;2;BP;13;2026
6007;400;8000;;;3;4;2;2;11;BP;13;2026
6002-11;500;5000;;8;8;8;8;8;40;SH;13;2026
6011;400;7000;;;;1;1;1;3;SA;13;2026
6011;400;8000;;;;;1;;1;SA;13;2026
6006;400;7000;;1;;;;1;2;AEA;13;2026
6006;400;8000;;1;1;;2;2;6;AEA;13;2026
6003;400;7000;;;;;;;0;AEA;13;2026
6003;400;8000;;;;1;;;1;AEA;13;2026
6013;400;5000;;;2;2;;;4;AEA;13;2026
6013;400;8000;;3;3;2;3;3;14;AEA;13;2026
6013;400;7000;;3;2;3;3;2;13;AEA;13;2026
4411;200;700;;8;8;8;8;4;36;VYÇ;13;2026
4425;400;7000;;;;;;2;2;VYÇ;13;2026
6010;400;5000;;7;6;7;8;8;36;BS;13;2026
4456;400;5000;;8;8;8;8;8;40;DB;13;2026
6002-11;500;7000;;8;8;8;8;8;40;SH;14;2026
6008;400;600;;2;1;;1;;4;HEÖ;14;2026
6008;400;700;;;2;;;;2;HEÖ;14;2026
6008;400;6000;;1;1;;;;2;HEÖ;14;2026
6008;400;7000;;;;;5;2;7;HEÖ;14;2026
6008;400;8000;;5;3;1;2;;11;HEÖ;14;2026
6014;400;1000;;2;3;;;;5;HEÖ;14;2026
6006;400;7000;;;;1;;;1;AEA;14;2026
6006;400;8000;;;1;1;;;2;AEA;14;2026
6013;400;8000;;3;3;3;4;3;16;AEA;14;2026
6013;400;7000;;5;4;3;4;5;21;AEA;14;2026
6013;400;5000;;2;1;2;2;2;9;KP;14;2026
6013;400;8000;;3;2;2;1;2;10;KP;14;2026
6013;400;2000;;2;2;1;2;2;9;KP;14;2026
6013;400;7000;;;2;3;3;2;10;KP;14;2026
6006;400;8000;;;1;;;;1;KP;14;2026
6003;400;8000;;1;;;;;1;KP;14;2026
6011;400;8000;;3;2;3;2;;10;RP;14;2026
6004;400;8000;;2;2;1;;2;7;RP;14;2026
6011;400;7000;;3;4;4;5;;16;RP;14;2026
4425;400;5000;;7;;;;;7;MA;14;2026
6003;400;5000;;;7;;3;7;17;MA;14;2026
6011;400;5000;;;;7;4;;11;MA;14;2026
6011;400;2000;;2;;;;;2;UU;14;2026
6013;400;2000;;1;;;;;1;UU;14;2026
6014;400;7000;;2;;;;;2;UU;14;2026
6009;400;7000;;;1;;;;1;UU;14;2026
6008;400;7000;;;1;;;;1;UU;14;2026
6008;400;5000;;;1;;;;1;UU;14;2026
6011;400;700;;;1,5;;;;1,5;UU;14;2026
6014;400;2000;;;;1;;;1;UU;14;2026
6013;400;7000;;;;2;;;2;UU;14;2026
6003;400;700;;;;1;;;1;UU;14;2026
6006;400;700;;;;1;;;1;UU;14;2026
6011;400;100;;;;;1,5;;1,5;UU;14;2026
6013;400;100;;;;;1,5;;1,5;UU;14;2026
6008;400;5000;;;;;1;;1;UU;14;2026
6004;400;8000;;;;;1;;1;UU;14;2026
6009;400;7000;;;;;;1;1;UU;14;2026
6009;400;8000;;;;;;1;1;UU;14;2026
6012;400;5000;;7;7;7;;;21;MY;14;2026
6010;400;5000;;8;8;8;7;7;38;BS;14;2026
6012;400;700;;2;;3;;3;8;UK;14;2026
6012;400;8000;;;2;;;;2;UK;14;2026
6012;400;600;;2;;;;;2;UK;14;2026
6007;400;7000;;;;2;;;2;UK;14;2026
6007;400;700;;;;;;5;5;UK;14;2026
4425;400;7000;;4;6;;;;10;UK;14;2026
4456;400;5000;;8;8;8;8;8;40;DB;14;2026
4411;200;700;;8;8;;;;16;VYÇ;14;2026
6012;800;8000;;;;;4;3;7;VYÇ;14;2026
4425;400;7000;;;;6;2;3;11;VYÇ;14;2026
6012;400;7000;;3;2;;3;;8;BP;14;2026
6012;400;5000;;2;2;4;1;4;13;BP;14;2026
4425;400;8000;;;;;1;;1;BP;14;2026
6012;400;2000;;2;;2;;1;5;BP;14;2026
6007;400;7000;;;;;;1;1;BP;14;2026
6007;400;8000;;1;4;2;3;2;12;BP;14;2026
6001;400;8000;;;;;;2;2;YK;14;2026
6010;400;8000;;2;;;;1;3;YK;14;2026
6001;400;7000;;;;;;;0;YK;14;2026
6010;400;5000;;1;;5;2;;8;YK;14;2026
6010;400;7000;;4;4;1;2;5;16;YK;14;2026
4411;400;7000;;1;;;;;1;YK;14;2026
6010;400;6000;;;;2;;;2;YK;14;2026
6002-5;400;5000;;4;4;2;3;4;17;AG;14;2026
6002-9;400;5000;;;1;;;1;2;AG;14;2026
6012;400;5000;;;1;1;;;2;AG;14;2026
6010;400;5000;;;;4;4;;8;AG;14;2026
DSEC;400;8000;;2;;1;1;1;5;AG;14;2026
6002-7;400;5000;;2;;;;;2;AG;14;2026
6008;400;5000;;2;;;2;;4;BÞ;14;2026
6008;400;7000;;;1;;2;;3;BÞ;14;2026
6008;400;8000;;6;6;6;3;8;29;BÞ;14;2026
4390;400;8000;;;;;;0,5;0,5;CÇ;14;2026
4425;300;500;;;;;;1;1;CÇ;14;2026
4425;300;700;;;;;1;;1;CÇ;14;2026
4425;400;5000;;;;1;;;1;CÇ;14;2026
4425;400;7000;;;;1;3;;4;CÇ;14;2026
6003;300;400;;1;;;;;1;CÇ;14;2026
6003;400;2000;;;;0,5;;;0,5;CÇ;14;2026
6003;400;8000;;;;0,5;;0,5;1;CÇ;14;2026
6007;300;700;;;2;;;;2;CÇ;14;2026
6010;300;700;;0,5;;2;;;2,5;CÇ;14;2026
6010;400;2000;;1;;;;;1;CÇ;14;2026
6010;400;5000;;0,5;;1;;;1,5;CÇ;14;2026
6012;300;400;;;;1;;;1;CÇ;14;2026
6012;300;600;;;1;;;;1;CÇ;14;2026
6012;400;5000;;;;;1;;1;CÇ;14;2026
6012;400;7000;;;1;;;;1;CÇ;14;2026
6012;400;5000;;7;7;7;7;7;35;MY;15;2026
6008;400;5000;;;;7;;;7;MA;15;2026
6012;400;5000;;7;4;;7;7;25;MA;15;2026
4425;400;5000;;;3;;;;3;MA;15;2026
6011;400;8000;;4;3;;;;7;RP;15;2026
6004;400;8000;;2;2;;;;4;RP;15;2026
6011;400;7000;;2;;;;;2;RP;15;2026
6014;400;1000;;;;4;4;4;12;RP;15;2026
6014;400;8000;;;;4;4;;8;RP;15;2026
6011;400;7000;;;;;0,5;;0,5;VYÇ;15;2026
6008;400;7000;;;;;1;;1;VYÇ;15;2026
4411;200;700;;;;;0,5;1;1,5;VYÇ;15;2026
6012;800;8000;;2;;;;;2;VYÇ;15;2026
4425;400;7000;;2;2;2;;;6;VYÇ;15;2026
6012;400;7000;;;;;2;;2;VYÇ;15;2026
6010;400;7000;;;;3;3;4;10;VYÇ;15;2026
6004;800;8000;;;;;;2;2;VYÇ;15;2026
6013;400;5000;;2;1;2;2;2;9;KP;15;2026
6013;400;8000;;3;2;2;1;2;10;KP;15;2026
6013;400;2000;;2;2;1;2;2;9;KP;15;2026
6013;400;7000;;;2;3;3;2;10;KP;15;2026
6006;400;8000;;;1;;;;1;KP;15;2026
6003;400;8000;;1;;;;;1;KP;15;2026
4411;400;8000;;1;;;;;1;YK;15;2026
6001;400;8000;;;;1;;;1;YK;15;2026
6010;400;8000;;1;;1;;;2;YK;15;2026
6001;400;7000;;;;2;;;2;YK;15;2026
6010;400;5000;;1;2;;;;3;YK;15;2026
6010;400;7000;;3;6;2;7;6;24;YK;15;2026
4411;400;7000;;2;;;;;2;YK;15;2026
6010;400;5000;;8;8;8;8;8;40;BS;15;2026
6012;400;7000;;2;;3;2;;7;UK;15;2026
6012;400;700;;;;2;4;;6;UK;15;2026
6012;400;600;;;2;1;;;3;UK;15;2026
6012;400;400;;1;;2;2;;5;UK;15;2026
6007;400;700;;2;1;;;;3;UK;15;2026
4425;400;7000;;3;2;;;;5;UK;15;2026
6008;400;600;;1;;;;;1;HEÖ;15;2026
6008;400;7000;;2;;;;;2;HEÖ;15;2026
6008;400;8000;;3;2;;2;;7;HEÖ;15;2026
6014;400;1000;;2;6;8;6;4;26;HEÖ;15;2026
4456;400;5000;;8;8;8;8;8;40;DB;15;2026
6002-5;400;5000;;;3;4;;4;11;AG;15;2026
6002-9;400;5000;;;1;1;;;2;AG;15;2026
6012;400;5000;;;;;;1;1;AG;15;2026
6004;400;5000;;;3;;;1;4;AG;15;2026
6002-10;400;5000;;4;;;;;4;AG;15;2026
DSEC;400;8000;;1;1;1;1;;4;AG;15;2026
6002-7;400;5000;;1;;2;7;2;12;AG;15;2026
6008;400;5000;;2;2;1;2;1;8;BÞ;15;2026
6008;400;7000;;1;;1;2;;4;BÞ;15;2026
6008;400;8000;;4;1;4;3;;12;BÞ;15;2026
6008;400;2000;;;;;;5;5;BÞ;15;2026
6006;400;7000;;;;;1;1;2;AEA;15;2026
6006;400;8000;;;;2;1;2;5;AEA;15;2026
6013;400;8000;;4;2;3;3;3;15;AEA;15;2026
6013;400;7000;;4;6;3;3;2;18;AEA;15;2026
6011;400;7000;;2;2;3;2;2;11;SA;15;2026
6011;400;5000;;1;;1;1;1;4;SA;15;2026
6004;400;7000;;4;5;3;4;4;20;SA;15;2026
4425;300;500;;;0,5;;;;0,5;CÇ;15;2026
4425;400;5000;;1,5;;;;;1,5;CÇ;15;2026
6010;400;8000;;1;0,5;1,5;1;;4;CÇ;15;2026
6012;300;400;;3,5;;;;;3,5;CÇ;15;2026
6012;300;600;;;;2,5;1,5;1,5;5,5;CÇ;15;2026
6012;400;5000;;1;3,5;2;;;6,5;CÇ;15;2026
6012;400;6000;;;1,5;;;;1,5;CÇ;15;2026
6012;400;7000;;;;;1;;1;CÇ;15;2026
6013;400;5000;;2;1;2;2;2;9;KP;16;2026
6013;400;8000;;3;2;2;1;2;10;KP;16;2026
6013;400;2000;;2;2;1;2;2;9;KP;16;2026
6013;400;7000;;;2;3;3;2;10;KP;16;2026
6006;400;8000;;;1;;;;1;KP;16;2026
6003;400;8000;;1;;;;;1;KP;16;2026
6010;400;8000;;;;;1;;1;YK;16;2026
6010;400;5000;;;3;;5;;8;YK;16;2026
6010;400;7000;;4;2;3;1;8;18;YK;16;2026
4411;400;7000;;;;3;;;3;YK;16;2026
6010;400;5000;;8;8;7;7;7;37;BS;16;2026
6008;400;5000;;;7;;;7;14;MA;16;2026
6012;400;5000;;4;;7;7;;18;MA;16;2026
4425;400;5000;;3;;;;;3;MA;16;2026
6012;400;7000;;2;;;;6;8;UK;16;2026
6012;400;700;;;;;2;;2;UK;16;2026
6012;400;8000;;2;;;2;2;6;UK;16;2026
6012;400;600;;1;;;;;1;UK;16;2026
6012;400;400;;3;;;;;3;UK;16;2026
6014;400;1000;;8;8;5;8;4;33;HEÖ;16;2026
6008;400;600;;;;;;4;4;HEÖ;16;2026
6014;400;1000;;5;7;7;4;8;31;RP;16;2026
6014;400;8000;;;1;1;;;2;RP;16;2026
6008;400;7000;;2;;2;;;4;VYÇ;16;2026
4411;200;700;;;2;;;;2;VYÇ;16;2026
4425;400;7000;;1;;;;;1;VYÇ;16;2026
6012;400;7000;;;4;4;;;8;VYÇ;16;2026
6010;400;7000;;2;;;;;2;VYÇ;16;2026
6012;400;5000;;7;7;7;7;7;35;MY;16;2026
6012;400;7000;;2;3;;;2;7;BP;16;2026
6012;400;5000;;2;;;;4;6;BP;16;2026
6012;400;8000;;;3;;3;1;7;BP;16;2026
4385;400;8000;;;;;1;;1;BP;16;2026
6007;400;8000;;4;2;;;1;7;BP;16;2026
6002-5;400;5000;;4;5;7;7;8;31;AG;16;2026
6002;400;5000;;;;;1;;1;AG;16;2026
6002-9;400;5000;;;1;;;;1;AG;16;2026
6004;400;5000;;1;;1;;;2;AG;16;2026
DSEC;400;8000;;2;1;;;;3;AG;16;2026
6002-7;400;5000;;1;1;;;;2;AG;16;2026
6008;400;5000;;2;2;2;2;3;11;BÞ;16;2026
6008;400;7000;;3;;1;2;1;7;BÞ;16;2026
6008;500;8000;;;;1;;;1;BÞ;16;2026
6008;500;2000;;2;4;4;3;3;16;BÞ;16;2026
6006;400;7000;;2;;;2;2;6;AEA;16;2026
6006;400;8000;;3;4;1;3;;11;AEA;16;2026
6003;400;7000;;;;;;1;1;AEA;16;2026
6003;400;8000;;;;1;;;1;AEA;16;2026
6013;400;8000;;1;2;3;2;2;10;AEA;16;2026
6013;400;7000;;2;2;3;1;3;11;AEA;16;2026
6002-11;500;5000;;8;6;;;7;21;SH;17;2026
6010;500;5000;;;2;8;;;10;SH;17;2026
4456;400;5000;;8;8;8;0;8;32;DB;17;2026
6013;400;5000;;2;1;2;2;2;9;KP;17;2026
